rank	url	company
1	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/387.html	Exxon Mobil
2	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2255.html	Wal-Mart Stores
3	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/385.html	Chevron
4	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/327.html	ConocoPhillips
5	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/170.html	General Electric
6	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/175.html	General Motors
7	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/160.html	Ford Motor
8	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2756.html	AT&amp;T
9	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/206.html	Hewlett-Packard
10	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/10620.html	Valero Energy
11	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2580.html	Bank of America Corp.
12	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2927.html	Citigroup
13	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/980.html	Berkshire Hathaway
14	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/225.html	International Business Machines
15	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2219.html	McKesson
16	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2608.html	J.P. Morgan Chase &amp; Co.
17	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2773.html	Verizon Communications
18	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/3052.html	Cardinal Health
19	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2269.html	CVS Caremark
20	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/334.html	Procter &amp; Gamble
21	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/3147.html	UnitedHealth Group
22	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2291.html	Kroger
23	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/427.html	Marathon Oil
24	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2649.html	Costco Wholesale
25	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2968.html	Home Depot
26	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2849.html	AmerisourceBergen
27	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/36.html	Archer Daniels Midland
28	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2303.html	Target
29	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/235.html	Johnson &amp; Johnson
30	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/3515.html	Morgan Stanley
31	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/10199.html	State Farm Insurance Cos.
32	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/10186.html	WellPoint
33	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/1053.html	Dell
34	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/59.html	Boeing
35	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/3063.html	Microsoft
36	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2275.html	Walgreen
37	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/421.html	United Technologies
38	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/134.html	Dow Chemical
39	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2358.html	MetLife
40	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/10777.html	Goldman Sachs Group
41	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/396.html	Sunoco
41	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2578.html	Wells Fargo
43	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2071.html	United Parcel Service
44	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/81.html	Caterpillar
45	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/11112.html	Medco Health Solutions
46	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/324.html	Pfizer
47	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2686.html	Lowe's
48	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/10472.html	Time Warner
49	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2292.html	Sears Holdings
50	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2908.html	Safeway
51	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2198.html	Supervalu
52	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/321.html	PepsiCo
53	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/293.html	Kraft Foods
54	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/263.html	Lockheed Martin
55	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/204.html	Hess
56	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/10034.html	Best Buy
57	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/5009.html	Cisco Systems
58	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/236.html	Johnson Controls
59	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2067.html	FedEx
60	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2190.html	Walt Disney
61	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/642.html	Intel
62	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2197.html	Sysco
63	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/11.html	Honeywell International
64	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2015.html	Sprint Nextel
65	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/11373.html	Enterprise GP Holdings
66	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/11409.html	GMAC
67	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/10511.html	Ingram Micro
68	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/5035.html	Comcast
69	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/305.html	Northrop Grumman
70	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/6213.html	News Corp.
71	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/670.html	Apple
72	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2999.html	CHS
73	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/100.html	Coca-Cola
74	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2493.html	American Express
75	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/136.html	DuPont
76	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2350.html	New York Life Insurance
77	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/10886.html	Aetna
78	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/288.html	Motorola
79	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/11014.html	Plains All American Pipeline
80	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/4.html	Abbott Laboratories
81	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/10384.html	Allstate
82	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/10606.html	TIAA-CREF
83	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/169.html	General Dynamics
84	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/10208.html	Prudential Financial
85	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2212.html	Humana
86	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/10009.html	Liberty Mutual Insurance Group
87	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/128.html	Deere
88	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/10015.html	HCA
89	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/556.html	Tyson Foods
90	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/15.html	Alcoa
91	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/553.html	Tesoro
92	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/289.html	Murphy Oil
93	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/11473.html	Philip Morris International
94	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/143.html	Emerson Electric
95	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/284.html	3M
96	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2302.html	Macy's
97	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/229.html	International Paper
98	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/309.html	Occidental Petroleum
99	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2490.html	Travelers Cos.
100	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2681.html	Rite Aid
101	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2248.html	Publix Super Markets
102	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/5048.html	Tech Data
103	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/280.html	Merck
104	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2135.html	AMR
105	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/10958.html	United States Steel
106	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/632.html	Nucor
107	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2262.html	McDonald's
108	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/342.html	Raytheon
109	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/10161.html	Staples
110	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/22.html	Wyeth
111	http://money.cnn.com/magazines/fortune/fortune500/2009/snapshots/2126.html	Delta Air Lines
