rank	url	company
1	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/2255.html	Wal-Mart Stores
2	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/387.html	Exxon Mobil
3	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/385.html	Chevron
4	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/11773.html	Phillips 66
5	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/980.html	Berkshire Hathaway
6	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/670.html	Apple
7	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/175.html	General Motors
8	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/170.html	General Electric
9	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/10620.html	Valero Energy
10	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/160.html	Ford Motor
11	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/2756.html	AT&T;
12	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/2434.html	Fannie Mae
13	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/2269.html	CVS Caremark
14	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/2219.html	McKesson
15	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/206.html	Hewlett-Packard
16	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/2773.html	Verizon Communications
17	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/3147.html	UnitedHealth Group
18	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/2608.html	J.P. Morgan Chase & Co.
19	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/3052.html	Cardinal Health
20	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/225.html	International Business Machines
21	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/2580.html	Bank of America Corp.
22	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/2649.html	Costco Wholesale
23	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/2291.html	Kroger
24	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/10592.html	Express Scripts Holding
25	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/2578.html	Wells Fargo
26	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/2927.html	Citigroup
27	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/36.html	Archer Daniels Midland
28	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/334.html	Procter & Gamble
29	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/10208.html	Prudential Financial
30	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/59.html	Boeing
31	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/3018.html	Freddie Mac
32	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/2849.html	AmerisourceBergen
33	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/11708.html	Marathon Petroleum
34	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/2968.html	Home Depot
35	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/3063.html	Microsoft
36	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/2303.html	Target
37	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/2275.html	Walgreen
38	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/2469.html	American International Group
39	http://money.cnn.com/magazines/fortune/fortune500/2013/snapshots/11431.html	INTL FCStone
