rank	url	company
1	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/1551.html	Wal-Mart Stores
2	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/496.html	Exxon Mobil
3	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/563.html	General Motors
4	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/290.html	Chevron
5	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/1050.html	ConocoPhillips
6	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/561.html	General Electric
7	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/529.html	Ford Motor
8	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/309.html	Citigroup
9	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/164.html	Bank of America Corp.
10	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/88.html	American Intl. Group
11	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/1871.html	J.P. Morgan Chase &amp; Co.
12	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/194.html	Berkshire Hathaway
13	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/1525.html	Verizon Communications
14	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/625.html	Hewlett-Packard
15	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/676.html	Intl. Business Machines
16	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/1521.html	Valero Energy
17	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/1366.html	Home Depot
18	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/850.html	McKesson
19	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/257.html	Cardinal Health
20	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/905.html	Morgan Stanley
21	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/1499.html	UnitedHealth Group
22	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/865.html	Merrill Lynch
23	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/1047.html	Altria Group
24	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/575.html	Goldman Sachs Group
25	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/1389.html	Procter &amp; Gamble
26	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/1370.html	Kroger
27	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/1182.html	AT&amp;T
28	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/1344.html	Boeing
29	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/95.html	AmerisourceBergen
30	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/1518.html	Marathon Oil
31	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/1270.html	State Farm Insurance Cos
32	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/371.html	Costco Wholesale
33	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/1310.html	Target
34	http://money.cnn.com/magazines/fortune/fortune500/2007/snapshots/406.html	Dell
