rank	url	company
1	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/2255.html	Wal-Mart Stores
2	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/387.html	Exxon Mobil
3	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/385.html	Chevron
4	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/327.html	ConocoPhillips
5	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/2434.html	Fannie Mae
6	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/170.html	General Electric
7	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/980.html	Berkshire Hathaway
8	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/175.html	General Motors
9	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/2580.html	Bank of America Corp.
10	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/160.html	Ford Motor
11	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/206.html	Hewlett-Packard
12	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/2756.html	AT&T;
13	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/2608.html	J.P. Morgan Chase & Co.
14	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/2927.html	Citigroup
15	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/2219.html	McKesson
16	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/2773.html	Verizon Communications
17	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/2469.html	American International Group
18	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/225.html	International Business Machines
19	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/3052.html	Cardinal Health
20	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/3018.html	Freddie Mac
21	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/2269.html	CVS Caremark
22	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/3147.html	UnitedHealth Group
23	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/2578.html	Wells Fargo
24	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/10620.html	Valero Energy
25	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/2291.html	Kroger
26	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/334.html	Procter & Gamble
27	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/2849.html	AmerisourceBergen
28	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/2649.html	Costco Wholesale
29	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/427.html	Marathon Oil
30	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/2968.html	Home Depot
31	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/324.html	Pfizer
32	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/2275.html	Walgreen
33	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/2303.html	Target
34	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/11112.html	Medco Health Solutions
35	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/670.html	Apple
36	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/59.html	Boeing
37	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/10199.html	State Farm Insurance Cos.
38	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/3063.html	Microsoft
39	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/36.html	Archer Daniels Midland
40	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/235.html	Johnson & Johnson
41	http://money.cnn.com/magazines/fortune/fortune500/2011/snapshots/1053.html	Dell
