rank	url	company
1	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/387.html	Exxon Mobil
2	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2255.html	Wal-Mart Stores
3	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/385.html	Chevron
4	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/327.html	ConocoPhillips
5	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/175.html	General Motors
6	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/170.html	General Electric
7	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/980.html	Berkshire Hathaway
8	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2434.html	Fannie Mae
9	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/160.html	Ford Motor
10	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/206.html	Hewlett-Packard
11	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2756.html	AT&T;
12	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10620.html	Valero Energy
13	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2580.html	Bank of America Corp.
14	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2219.html	McKesson
15	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2773.html	Verizon Communications
16	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2608.html	J.P. Morgan Chase & Co.
17	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/670.html	Apple
18	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2269.html	CVS Caremark
19	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/225.html	International Business Machines
20	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2927.html	Citigroup
21	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/3052.html	Cardinal Health
22	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/3147.html	UnitedHealth Group
23	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2291.html	Kroger
24	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2649.html	Costco Wholesale
25	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/3018.html	Freddie Mac
26	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2578.html	Wells Fargo
27	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/334.html	Procter & Gamble
28	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/36.html	Archer Daniels Midland
29	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2849.html	AmerisourceBergen
30	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/11431.html	INTL FCStone
31	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/11708.html	Marathon Petroleum
32	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2275.html	Walgreen
33	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2469.html	American International Group
34	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2358.html	MetLife
35	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2968.html	Home Depot
36	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/11112.html	Medco Health Solutions
37	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/3063.html	Microsoft
38	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2303.html	Target
39	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/59.html	Boeing
40	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/324.html	Pfizer
41	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/321.html	PepsiCo
42	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/235.html	Johnson & Johnson
43	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10199.html	State Farm Insurance Cos.
44	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/1053.html	Dell
45	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10186.html	WellPoint
46	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/81.html	Caterpillar
47	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/134.html	Dow Chemical
48	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/421.html	United Technologies
49	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/5035.html	Comcast
50	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/293.html	Kraft Foods
51	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/642.html	Intel
52	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2071.html	United Parcel Service
53	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10034.html	Best Buy
54	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2686.html	Lowe's
55	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10208.html	Prudential Financial
56	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10810.html	Amazon.com
57	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/280.html	Merck
58	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/263.html	Lockheed Martin
59	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/100.html	Coca-Cola
60	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10592.html	Express Scripts Holding
61	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/396.html	Sunoco
62	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10897.html	Enterprise Products Partners
63	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2908.html	Safeway
64	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/5009.html	Cisco Systems
65	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2292.html	Sears Holdings
66	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2190.html	Walt Disney
67	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/236.html	Johnson Controls
68	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/3515.html	Morgan Stanley
69	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2197.html	Sysco
70	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2067.html	FedEx
71	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/4.html	Abbott Laboratories
72	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/136.html	DuPont
73	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/11207.html	Google
74	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/204.html	Hess
75	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2198.html	Supervalu
76	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2102.html	United Continental Holdings
77	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/11.html	Honeywell International
78	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2999.html	CHS
79	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2212.html	Humana
80	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10777.html	Goldman Sachs Group
81	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10511.html	Ingram Micro
82	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/3057.html	Oracle
83	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2126.html	Delta Air Lines
84	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10009.html	Liberty Mutual Insurance Group
85	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10860.html	World Fuel Services
86	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2350.html	New York Life Insurance
87	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/11014.html	Plains All American Pipeline
88	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10606.html	TIAA-CREF
89	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10886.html	Aetna
90	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2015.html	Sprint Nextel
91	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/6213.html	News Corp.
92	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/169.html	General Dynamics
93	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10384.html	Allstate
94	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10015.html	HCA Holdings
95	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2493.html	American Express
96	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/556.html	Tyson Foods
97	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/128.html	Deere
98	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/289.html	Murphy Oil
99	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/11473.html	Philip Morris International
100	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10192.html	Nationwide
101	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/553.html	Tesoro
102	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/284.html	3M
103	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10472.html	Time Warner
104	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/305.html	Northrop Grumman
105	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/11151.html	DirecTV
106	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2248.html	Publix Super Markets
107	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2262.html	McDonald's
108	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2161.html	Avnet
109	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/5048.html	Tech Data
110	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2302.html	Macy's
111	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/229.html	International Paper
112	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2490.html	Travelers Cos.
113	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/2681.html	Rite Aid
114	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10161.html	Staples
115	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/15.html	Alcoa
116	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/10209.html	Northwestern Mutual
117	http://money.cnn.com/magazines/fortune/fortune500/2012/snapshots/342.html	Raytheon
