Rank,Name,Revenues,Profits
796,Continental Resources,2572.5,739.4
797,Vulcan Materials,2567.3,-52.6
798,Newfield Exploration,2567,-1184
799,Plains Exploration &amp; Production,2565.3,306.4
800,Boise,2555.4,52.2
801,Worthington Industries,2534.7,115.6
802,Sentry Insurance Group,2531.6,236
803,MEMC Electronic Materials,2529.9,-150.6
804,TMS International,2526.2,26.1
805,HCC Insurance Holdings,2525.8,391.2
806,Arthur J. Gallagher,2520.3,195
807,Ventas,2515.9,362.8
808,LSI,2506.1,196.2
809,Wendy's,2505.2,7.1
810,Amerco,2502.7,205.4
811,hhgregg,2493.4,81.4
812,Donaldson,2493.2,264.3
813,Men's Wearhouse,2488.3,131.7
814,Boyd Gaming,2487.4,-908.9
815,Pinnacle Foods Finance,2478.5,52.5
816,WABCO Holdings,2477.4,302
817,Kemper,2475.2,103.4
818,Cinemark Holdings,2473.5,168.9
819,Moog,2469.5,152.5
820,Hyster-Yale Materials Handling,2469.1,98
821,Benchmark Electronics,2468.2,56.6
822,Beam,2465.9,382.4
823,Zions Bancorp.,2458.6,349.5
824,Denbury Resources,2456.5,525.4
825,Universal,2446.9,92.1
826,Univision Communications,2442,0.6
827,Apria Healthcare Group,2436.2,-260.4
828,MBIA,2435,1234
829,Crown Castle International,2432.7,188.6
830,GNC Holdings,2430,240.2
831,WGL Holdings,2425.3,139.8
832,Triple-S Management,2422,54
833,SunPower,2417.5,-352
834,Service Corp. International,2410.5,152.5
835,Maxim Integrated Products,2403.5,386.7
836,Walter Energy,2399.9,-1060.4
837,Tower International,2395.9,18
838,Westinghouse Air Brake Technologies,2391.1,251.7
839,Aéropostale,2386.2,34.9
840,Sanderson Farms,2386.1,53.9
841,Carter's,2381.7,161.2
842,ANN,2375.5,102.6
843,Applied Industrial Technologies,2375.4,108.8
844,Covance,2365.8,94.7
845,Momentive Performance Materials,2357,-365
846,MSC Industrial Direct,2355.9,259
847,Gardner Denver,2355.5,263.3
848,QEP Resources,2349.8,128.3
849,Mettler-Toledo International,2341.5,290.8
850,Ferrellgas Partners,2339.1,-11
851,Groupon,2334.5,-54.8
852,AptarGroup,2331,162.6
853,Autodesk,2312.2,247.4
854,Great Plains Energy,2309.9,199.9
855,Scripps Networks Interactive,2307.2,681.5
856,Plexus,2306.7,62.1
857,Broadridge Financial Solutions,2303.5,123.6
858,EnerSys,2283.4,144
859,Regis,2273.8,-114.1
860,Westar Energy,2261.5,275.1
861,ITT,2258,125.4
862,DSW,2257.8,146.4
863,New Jersey Resources,2248.9,92.9
864,Xilinx,2240.7,530.1
865,Kansas City Southern,2238.6,377.3
866,Brocade Communications Systems,2237.8,195.2
867,Vectren,2232.8,159
868,Vishay Intertechnology,2230.1,122.7
869,Paychex,2229.8,548
870,J. Crew Group,2227.7,96.1
871,NewMarket,2223.3,239.6
872,Aaron's,2222.6,173
873,Ulta Salon Cosmetics &amp; Fragrance,2220.3,172.5
874,Valhi,2218.6,159.8
875,Popular,2218,245.3
876,Global Payments,2203.8,188.2
877,Coinstar,2202,150.2
878,Nortek,2201.3,9.5
879,Equity Residential,2193.3,841.7
880,AOL,2191.7,1048.4
881,Mueller Industries,2189.9,82.4
882,Clean Harbors,2187.9,129.7
883,E*Trade Financial,2185.5,-112.6
884,Olin,2184.7,149.6
885,TreeHouse Foods,2182.1,88.4
886,Intuitive Surgical,2178.8,656.6
887,Itron,2178.2,108.3
888,Universal American,2177.5,53
889,Whiting Petroleum,2173.5,414.2
890,BMC Software,2172,401
891,Nu Skin Enterprises,2169.7,221.6
892,HealthSouth,2162.9,185
893,Valassis Communications,2162.1,119
894,Jack in the Box,2162,57.7
895,Equifax,2160.5,272.1
896,PC Connection,2158.9,33.1
897,Insperity,2158.8,40.4
898,Alliance One International,2150.8,29.5
899,International Game Technology,2150.7,245.9
900,Scholastic,2148.9,102.4
901,Express,2148.1,139.3
902,Willbros Group,2144.7,-30.2
903,Allison Transmission Holdings,2141.8,514.2
904,Guitar Center Holdings,2139.2,-72.2
905,Mutual of America Life,2134.1,48.8
906,Convergys,2133.8,100.6
907,Panera Bread,2130.1,173.4
908,Teledyne Technologies,2127.3,164.1
909,Knights of Columbus,2125.8,127.7
910,Seacor Holdings,2119.1,61.2
911,PerkinElmer,2115.2,69.9
912,Kirby,2112.7,209.4
913,Old Dominion Freight Line,2110.5,169.5
914,Curtiss-Wright,2108.5,113.8
915,A. Schulman,2106.8,50.9
916,PSS World Medical,2102,74.3
917,Symetra Financial,2101.2,205.4
918,DeVry,2089.8,141.6
919,ProLogis,2088.7,-39.7
920,New York Community Bancorp,2088.5,501.1
921,Granite Construction,2083,45.3
922,MWI Veterinary Supply,2075.1,53.5
923,New York Times,2071.2,133.2
924,Lender Processing Services,2069.9,70.4
925,Bio-Rad Laboratories,2069.2,163.8
926,Briggs &amp; Stratton,2066.5,29
927,Arkansas Best,2066,-7.7
928,"Pep Boys-Manny, Moe &amp; Jack",2065.2,22.9
929,AAR,2065,67.7
930,Monster Beverage,2060.7,340
931,Edgen Group,2059,-21.4
932,Universal Forest Products,2054.9,23.9
933,PriceSmart,2050.7,67.6
934,Beacon Roofing Supply,2043.7,75.6
935,Trimble Navigation,2040.1,191.1
936,Martin Marietta Materials,2037.7,84.5
937,Werner Enterprises,2036.4,103
938,Key Energy Services,2035.9,7.6
939,Affinia Group Intermediate Holdings,2035,-103
940,Alliance Holdings,2033.9,196.1
941,Carpenter Technology,2028.7,121.2
942,Heartland Payment Systems,2026.6,65.9
943,Titan Machinery,2020.9,44.7
944,Quiksilver,2013.2,-10.8
945,Inergy,2006.8,554.9
946,HNI,2004,49
947,Hologic,2002.7,-73.6
948,Liberty Media,1999,1414
949,Esterline Technologies,1992.3,112.5
950,Metals USA Holdings,1983.6,52.7
951,Rexnord,1969.6,29.9
952,Burger King Worldwide,1966.3,117.7
953,Kar Auction Services,1963.4,92
954,Hawaiian Holdings,1962.4,53.2
955,H.B. Fuller,1959.4,125.6
956,Toro,1958.7,129.5
957,Fred's,1955.3,29.6
958,IDEX,1954.3,37.6
959,Pool,1954,82
960,RPC,1945,274.4
961,Concho Resources,1939.8,431.7
962,A.O. Smith,1939.3,158.7
963,Belden,1936.4,194.5
964,Acuity Brands,1933.7,116.3
965,Southwest Gas,1927.8,133.3
966,Equinix,1925.4,144.7
967,Patriot Coal,1922.7,-730.6
968,Tower Group,1922.6,-28.2
969,USEC,1918.1,-1200.6
970,SunCoke Energy,1914.1,98.8
971,HCP,1913.7,832.5
972,Stericycle,1913.1,268
973,Stewart Information Services,1910.4,109.2
974,BlueLinx Holdings,1907.8,-23
975,Health Care REIT,1901.4,297.3
976,Edwards Lifesciences,1899.6,293.2
977,Amica Mutual Insurance,1893.6,74.9
978,Lehigh Gas Partners,1888.3,1.8
979,Toll Brothers,1882.8,487.1
980,Boston Properties,1879.8,289.7
981,Clearwater Paper,1874.3,64.1
982,Total System Services,1871,244.3
983,Zale,1866.9,-27.3
984,Verifone Systems,1866,65
985,Woodward,1865.6,141.6
986,AmTrust Financial Services,1865.2,178
987,Vantiv,1863.2,57.6
988,Griffon,1861.1,17
989,Michael Foods Group,1856.1,30.1
990,Penn Mutual Life Insurance,1848.8,129.7
991,Waters,1843.6,461.4
992,Under Armour,1834.9,128.8
993,Ciena,1833.9,-144
994,PharMerica,1832.6,22.9
995,Weight Watchers International,1826.8,257.4
996,Public Storage,1826.7,939.3
997,Titan International,1820.7,95.6
998,Mednax,1816.6,240.9
999,Children's Place Retail Stores,1809.5,63.2
1000,Cheesecake Factory,1809,98.4
