Rank,Name,Revenues,Profits
197,L-3 Communications,14057,810
198,Viacom,13887,1981
199,US Airways Group,13831,637
200,Waste Management,13649,817
201,Yum Brands,13633,1597
202,Chubb,13595,1545
203,Penske Automotive Group,13593.2,185.5
204,Toys Ã¢â‚¬Å“RÃ¢â‚¬Å“ Us,13543,38
205,Aramark,13505.4,138.2
206,Monsanto,13504,2045
207,Anadarko Petroleum,13411,2391
208,Starbucks,13299.5,1383.8
209,ConAgra Foods,13263.1,467.9
210,Dominion Resources,13150,302
211,Parker-Hannifin,13145.9,1151.8
212,Edison International,13104,-183
213,Smithfield Foods,13094.3,361.3
214,Genuine Parts,13013.9,648
215,J.C. Penney,12985,-985
216,Navistar International,12948,-3010
217,Dean Foods,12900.6,158.6
218,Texas Instruments,12825,1759
219,Oneok,12660.2,360.6
220,Thermo Fisher Scientific,12657,1177.9
221,Ally Financial,12643,1196
222,Western Digital,12478,1612
223,Chesapeake Energy,12316,-769
224,PPL,12286,1526
225,Textron,12237,589
226,Consolidated Edison,12188,1138
227,Nordstrom,12148,735
228,Marsh &amp; McLennan,11924,1176
229,Ecolab,11838.7,703.6
230,Marriott International,11814,571
231,CSX,11756,1859
232,Whole Foods Market,11698.8,465.6
233,EOG Resources,11682.6,570.3
234,H.J. Heinz,11649.1,923.2
235,Lincoln National,11532,1313
236,Health Net,11481.2,122.1
237,C.H. Robinson Worldwide,11359.1,593.8
238,Guardian Life Ins. Co. of America,11293.9,265.8
239,SunTrust Banks,11240,1958
240,SAIC,11229,525
241,Praxair,11224,1692
241,Huntsman,11224,363
243,Peter Kiewit Sons',11220,290
244,Las Vegas Sands,11131.1,1524.1
245,Stanley Black &amp; Decker,11121.1,883.8
246,Mosaic,11107.8,1930.2
247,Norfolk Southern,11040,1749
248,URS,10972.5,310.6
249,Jacobs Engineering Group,10893.8,379
250,VF,10879.9,1086
251,BB&amp;T Corp.,10737,1979
252,Avon Products,10717.1,-42.5
253,Office Depot,10695.7,-77.1
254,First Data,10680.3,-700.9
255,Automatic Data Processing,10665.2,1388.5
256,Liberty Global,10604.5,322.8
257,Unum Group,10515.4,894.4
258,L Brands,10458.7,753
259,CarMax,10453.8,413.8
260,Visa,10421,2144
261,Entergy,10302.1,846.7
262,Synnex,10285.5,151.4
263,Ameriprise Financial,10259,1029
264,R.R. Donnelley &amp; Sons,10221.9,-651.4
265,Kinder Morgan,10200,315
266,Xcel Energy,10128.2,905.2
267,CDW,10128.2,119
268,State Street Corp.,10125,2061
269,Tenet Healthcare,10058,152
270,Liberty Interactive,10054,1530
271,Genworth Financial,10023,323
272,AGCO,9962.2,522.1
273,Air Products &amp; Chemicals,9869.7,1167.3
274,Newmont Mining,9868,1809
275,Reinsurance Group of America,9840.9,631.9
276,Public Service Enterprise Group,9781,1275
277,KKR,9739.6,560.8
278,Ross Stores,9721.1,786.8
279,Estée Lauder,9713.6,856.9
280,Gilead Sciences,9702.5,2591.6
281,Sempra Energy,9647,859
282,Sherwin-Williams,9534.5,631
283,Western Refining,9503.1,398.9
284,Devon Energy,9502,-206
285,Bed Bath &amp; Beyond,9499.9,989.5
286,BlackRock,9337,2458
287,Family Dollar Stores,9331,422.2
288,Hillshire Brands,9323,845
289,Leucadia National,9293.9,854.5
290,Principal Financial,9215.1,805.9
291,Rock-Tenn,9207.6,249.1
292,MGM Resorts International,9160.8,-1767.7
293,Hertz Global Holdings,9020.8,243.1
294,Discover Financial Services,8984,2345
295,W.W. Grainger,8950,689.9
296,Henry Schein,8940,388.1
297,Owens &amp; Minor,8908.1,109
298,GameStop,8886.7,-269.7
299,DTE Energy,8846,610
300,Caesars Entertainment,8798.7,-1497.5
301,Ball,8735.7,403.5
302,Applied Materials,8719,109
303,Centene,8703.6,1.9
304,Motorola Solutions,8698,881
305,Stryker,8657,1298
306,AutoZone,8603.9,930.4
307,Sonic Automotive,8548.4,89.1
308,Dover,8538.8,811.1
309,Assurant,8508.3,483.7
310,Cameron International,8502.1,750.5
311,DaVita HealthCare Partners,8489.5,536
312,Crown Holdings,8470,557
313,Reliance Steel &amp; Aluminum,8442.3,403.5
314,NRG Energy,8422,559
315,Peabody Energy,8306.6,-585.7
316,Reynolds American,8304,1272
317,Autoliv,8266.7,483.1
318,Micron Technology,8234,-1032
319,Hormel Foods,8230.7,500.1
320,AECOM Technology,8218.2,-58.6
321,Ashland,8206,26
322,Oshkosh,8193.3,230.8
323,Republic Services,8118.3,571.8
324,Eastman Chemical,8102,437
325,Thrivent Financial for Lutherans,8018.4,487.6
326,Corning,8012,1728
327,Broadcom,8006,719
328,Darden Restaurants,7998.7,475.5
329,TravelCenters of America,7995.7,32.2
330,HD Supply,7994,-639
331,Spectrum Group International,7974.8,4.1
332,Becton Dickinson,7946.8,1169.9
333,Sealed Air,7921.6,-1410.3
334,KBR,7921,144
335,Commercial Metals,7859,207.5
336,Masco,7816,-114
337,Universal Health Services,7783.3,443.4
338,Campbell Soup,7707,774
339,Coca-Cola Enterprises,7562,677
340,Charter Communications,7504,-304
341,Quest Diagnostics,7499.5,555.7
342,Williams,7486,859
343,Group 1 Automotive,7476.1,100.2
344,CenterPoint Energy,7452,417
345,WellCare Health Plans,7409,184.7
346,Dollar Tree,7394.5,619.3
347,Pantry,7393.6,-2.5
348,MasterCard,7391,2759
349,Tenneco,7363,275
350,Avis Budget Group,7357,290
351,Terex,7348.4,105.8
352,Cognizant Technology Solutions,7346.5,1051.3
353,Fidelity National Financial,7326.1,606.5
354,Steel Dynamics,7290.2,163.6
355,Precision Castparts,7278.3,1224.1
356,Dana Holding,7258,300
357,Boston Scientific,7249,-4068
358,BorgWarner,7183.2,500.9
359,Visteon,7154,100
360,Barnes &amp; Noble,7129.2,-68.9
361,Fifth Third Bancorp,7106,1576
362,Franklin Resources,7101,1931.4
363,Weyerhaeuser,7059,385
364,Owens-Illinois,7000,184
365,Alpha Natural Resources,6974.9,-2437.1
366,Interpublic Group,6956.2,446.7
367,OfficeMax,6920.4,416.8
368,Core-Mark Holding,6905.4,33.9
369,Pacific Life,6874,460
370,Ralph Lauren,6859.5,681
371,Agilent Technologies,6858,1153
372,Dole Food,6832.3,-144.5
373,Ameren,6828,-974
374,Mylan,6796.1,640.9
375,Avery Dennison,6761.6,215.4
376,Health Management Associates,6760.9,164.3
377,PetSmart,6758.2,389.5
378,Dillard's,6751.6,336
379,Symantec,6730,1172
380,Huntington Ingalls Industries,6708,146
381,Enbridge Energy Partners,6706.1,493.1
382,Cablevision Systems,6705.5,233.5
383,Jarden,6696.1,243.9
384,Hershey,6644.3,660.9
385,WESCO International,6579.3,201.8
386,Ingredion,6532.1,427.5
387,CBRE Group,6519.8,315.6
388,UGI,6519.2,199.4
389,NuStar Energy,6516.8,-226.6
390,McGraw-Hill,6512,437
391,Vanguard Health Systems,6488.4,57.3
392,Casey's General Stores,6460.8,116.8
393,American Family Insurance Group,6456.8,360.5
394,Mutual of Omaha Insurance,6437,283.8
395,Mattel,6420.9,776.5
396,Celanese,6418,605
397,Quanta Services,6413.5,306.6
398,Level 3 Communications,6376,-422
399,EMCOR Group,6346.7,146.6
400,Starwood Hotels &amp; Resorts,6321,562
401,Regions Financial,6275,1120
402,Northeast Utilities,6273.8,525.9
403,Rockwell Automation,6259.4,737
404,Ryder System,6257,210
405,Anixter International,6253.1,124.8
406,CMS Energy,6253,382
407,CC Media Holdings,6246.9,-424.5
408,NetApp,6233.2,605.4
409,Advance Auto Parts,6205,387.7
410,Kindred Healthcare,6190.7,-40.4
411,Seaboard,6189.1,282.3
412,O'Reilly Automotive,6182.2,585.7
413,Foot Locker,6182,397
414,Windstream,6169.2,168
415,CH2M Hill,6160.6,93
416,Omnicare,6160.4,194.9
417,FMC Technologies,6151.4,430
418,SLM,6110,939
419,CF Industries Holdings,6104,1848.7
420,Sanmina,6093.3,180.2
421,NII Holdings,6086.5,-765.2
422,PVH,6043,433.8
423,Molina Healthcare,6028.8,9.8
424,Cliffs Natural Resources,6024.3,-899.4
425,General Cable,6014.3,4
426,Shaw Group,6008.4,198.9
427,Dr Pepper Snapple Group,5995,629
428,Expeditors International of Washington,5980.9,333.4
429,Harris,5964,30.6
430,AK Steel Holding,5933.7,-1027.3
431,SPX,5925.2,259.2
432,Actavis,5914.9,97.3
433,Newell Rubbermaid,5902.7,401.3
434,Fidelity National Information Services,5888.1,461.2
435,Targa Resources,5885.7,38.1
436,Booz Allen Hamilton Holding,5859.2,240
437,Dick's Sporting Goods,5836.1,290.7
438,W.R. Berkley,5823.6,510.6
439,Live Nation Entertainment,5819,-163.2
440,Allergan,5806.1,1098.8
441,NCR,5792,146
442,Mohawk Industries,5788,250.3
443,Auto-Owners Insurance,5747.7,435.6
444,Laboratory Corp. of America,5671.4,583.1
445,Western Union,5664.8,1025.9
446,Joy Global,5660.9,762
447,Energy Future Holdings,5636,-3360
448,MeadWestvaco,5594,205
449,Harley-Davidson,5580.5,623.9
450,Con-way,5580.2,104.5
451,MRC Global,5570.9,118
452,J.M. Smucker,5525.8,459.7
453,Exelis,5522,330
454,Biogen Idec,5516.5,1380
455,Erie Insurance Group,5512,160
456,Celgene,5506.7,1456.2
457,St. Jude Medical,5503,752
458,Domtar,5482,172
459,Calpine,5478,199
460,Susser Holdings,5469.6,46.7
461,Clorox,5468,541
462,Kelly Services,5450.5,50.1
463,Consol Energy,5430.3,388.5
464,Advanced Micro Devices,5422,-1183
465,Graybar Electric,5413.3,86.3
466,Big Lots,5400.1,177.1
467,Gannett,5353.2,424.3
468,Telephone &amp; Data Systems,5345.3,81.9
469,Host Hotels &amp; Resorts,5323,61
470,Insight Enterprises,5301.4,92.8
471,Western &amp; Southern Financial Group,5293.7,137.7
472,Andersons,5272,79.5
473,Priceline.com,5261,1419.6
474,United Natural Foods,5236,91.3
475,Spectra Energy,5174,940
476,Owens Corning,5172,-19
477,Avaya,5171,-344
478,Wynn Resorts,5154.3,502
479,Bemis,5139.2,173.8
480,NiSource,5102.7,416.1
481,MetroPCS Communications,5101.3,394.2
482,Facebook,5089,53
483,Pepco Holdings,5081,285
484,United Stationers,5080.1,111.8
485,American Financial Group,5062,488
486,J.B. Hunt Transport Services,5055,310.4
487,SanDisk,5052.5,417.4
488,Charles Schwab,5049,928
489,Pitney Bowes,5039.2,445.2
490,Allegheny Technologies,5031.5,158.4
491,Jones Financial,5027.4,555
492,Frontier Communications,5011.9,136.6
