rank	url	company
1	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2255.html	Wal-Mart Stores
2	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/387.html	Exxon Mobil
3	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/385.html	Chevron
4	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/170.html	General Electric
5	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2580.html	Bank of America Corp.
6	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/327.html	ConocoPhillips
7	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2756.html	AT&amp;T
8	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/160.html	Ford Motor
9	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2608.html	J.P. Morgan Chase &amp; Co.
10	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/206.html	Hewlett-Packard
11	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/980.html	Berkshire Hathaway
12	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2927.html	Citigroup
13	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2773.html	Verizon Communications
14	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2219.html	McKesson
15	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/175.html	General Motors
16	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2469.html	American International Group
17	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/3052.html	Cardinal Health
18	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2269.html	CVS Caremark
19	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2578.html	Wells Fargo
20	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/225.html	International Business Machines
21	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/3147.html	UnitedHealth Group
22	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/334.html	Procter &amp; Gamble
23	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2291.html	Kroger
24	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2849.html	AmerisourceBergen
25	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2649.html	Costco Wholesale
26	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/10620.html	Valero Energy
27	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/36.html	Archer Daniels Midland
28	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/59.html	Boeing
29	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2968.html	Home Depot
30	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2303.html	Target
31	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/10186.html	WellPoint
32	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2275.html	Walgreen
33	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/235.html	Johnson &amp; Johnson
34	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/10199.html	State Farm Insurance Cos.
35	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/11112.html	Medco Health Solutions
36	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/3063.html	Microsoft
37	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/421.html	United Technologies
38	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/1053.html	Dell
39	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/10777.html	Goldman Sachs Group
40	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/324.html	Pfizer
41	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/427.html	Marathon Oil
42	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2686.html	Lowe's
43	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2071.html	United Parcel Service
44	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/263.html	Lockheed Martin
45	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/10034.html	Best Buy
46	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/134.html	Dow Chemical
47	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2198.html	Supervalu
48	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2292.html	Sears Holdings
49	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/11431.html	International Assets Holding
50	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/321.html	PepsiCo
51	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2358.html	MetLife
52	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2908.html	Safeway
53	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/293.html	Kraft Foods
54	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/3018.html	Freddie Mac
55	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2197.html	Sysco
56	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/670.html	Apple
57	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2190.html	Walt Disney
58	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/5009.html	Cisco Systems
59	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/5035.html	Comcast
60	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2067.html	FedEx
61	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/305.html	Northrop Grumman
62	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/642.html	Intel
63	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/10886.html	Aetna
64	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2350.html	New York Life Insurance
65	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/10208.html	Prudential Financial
66	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/81.html	Caterpillar
67	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2015.html	Sprint Nextel
68	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/10384.html	Allstate
69	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/169.html	General Dynamics
70	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/3515.html	Morgan Stanley
71	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/10009.html	Liberty Mutual Insurance Group
72	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/100.html	Coca-Cola
73	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/2212.html	Humana
74	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/11.html	Honeywell International
75	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/4.html	Abbott Laboratories
76	http://money.cnn.com/magazines/fortune/fortune500/2010/snapshots/6213.html	News Corp.
